,dim_1,dim_2,label
0,122.25277254488093,-316.24372465919345,5
1,1010.4917554863598,-289.96818546015675,0
2,-58.99489101962404,393.7007950971137,4
3,-796.9654167438835,-607.4245172203379,1
4,-391.31891581852454,729.8080691618853,9
5,185.96875937195816,223.86699516249428,2
6,-730.4852934040791,-162.00064224297242,1
7,503.48545003477886,-308.7379089426693,3
8,-874.5515570137256,-84.3018370469744,1
9,-304.01574938764566,463.5793507048706,4
10,-150.8691331535537,-652.3083713887228,3
11,-612.3366805078637,-243.51259452645246,5
12,269.54494900631823,-836.3385112114125,3
13,252.2373663826994,153.09538846965205,6
14,-867.6035160799478,-234.37583495734108,1
15,-144.15272627580615,866.4683014738955,7
16,93.17929176057842,3.1883710968889756,2
17,-384.81899172411937,-255.03849721368738,8
18,-208.5036604161473,-199.83354487808342,6
19,-787.7436730434564,68.82477196520712,9
20,333.75012912698156,505.3817264269841,4
21,1033.559554833231,-351.1875824516956,0
22,-649.9787639886971,197.14867725564793,9
23,-806.249717348556,-527.9316020543382,1
24,-264.1311846448247,-291.8264576871538,1
25,765.5240420028649,-1052.0448307033141,2
26,-613.046989411016,425.1162002787401,4
27,777.371969315601,-618.1706484682652,3
28,347.43963359891376,205.1098807068083,2
29,-648.7370133069861,118.16796473738505,7
30,-296.8563833531482,-56.56029429013321,3
31,-219.32236675085645,-639.0638204100461,8
32,-7.099842892000065,85.62553898148616,6
33,-615.4738049636699,176.683142214719,9
34,615.4274340275274,-244.2139134955488,0
35,-599.0024731636228,-199.15680199612132,5
36,69.41501996187752,-237.99630890202096,6
37,942.2208734859729,-245.3952948108445,0
38,-345.82855195851215,578.0840837424663,7
39,257.0272472392119,287.7222167806077,6
40,-996.7835747863202,-353.22732179909707,1
41,-173.1898858991685,-335.2119761604201,8
42,-756.6813309488219,350.7058157759876,7
43,-682.9159568417206,-6.045150062671998,9
44,-498.5534964394302,-28.154405732800775,3
45,-271.28443868834876,864.5774509681775,9
46,-235.21117135320227,-71.51411805202784,8
47,-253.56480506926377,-154.69310042975815,5
48,-279.28172763541204,-57.460756560758725,9
49,261.2467100887891,-753.4093420634688,3
50,-75.54136363463404,-766.9739942971664,3
51,1645.8320678016958,-80.7142372516297,0
52,241.04050044576053,1025.4071066016036,7
53,-751.2550664759583,-153.2681501860965,4
54,-191.5656116005643,818.3788588627001,9
55,-172.70827074940019,161.6495449050401,8
56,1309.45258589993,17.202832905286588,0
57,-554.225357560437,588.4495687455365,9
58,257.86281987031373,630.5645813132016,4
59,-773.1232950048462,-749.4164795570449,1
60,429.93411132770325,446.3273215386466,4
61,-612.3743835750382,-51.17304244740627,4
62,288.7360926361224,-380.10692082386385,6
63,1194.8864248285083,-256.2259614011076,0
64,576.2640448436749,529.058255840858,4
65,-589.0649614948317,-399.99183564228997,5
66,256.90676954690224,-234.1625435076119,6
67,-941.9206469996984,-533.3833495751949,1
68,194.85366453363693,-525.7466763948224,0
69,1229.8679042104593,-159.08504138298113,0
70,-221.84242197427784,-521.0682004230046,1
71,-409.76986698426686,404.5481489373073,7
72,-927.3114589267448,-298.40549698074614,1
73,-83.16878018354105,-142.67556989213352,6
74,-65.62049559206363,-361.9546440850778,3
75,840.1542097273282,-418.41370302234617,0
76,-346.03177025775506,-919.567481268381,2
77,-868.5403096296893,-729.2325968522841,1
78,-898.6585942193941,-495.38581085424454,1
79,-451.62713139837575,258.28117389449704,7
80,513.8302146666454,-417.93597665217885,9
81,1063.5382437401158,-224.37404690522172,0
82,1031.4818884272986,-561.3804153149474,2
83,226.87891039943452,-32.38931536334506,6
84,-291.9794158839698,695.0663043437884,7
85,-185.79551906306403,-374.91028442479166,8
86,-278.25414437927617,-26.489661508740408,3
87,-159.69379677895344,913.1429755943312,9
88,1165.1158448363033,-334.0225484843758,0
89,64.51263717731486,883.2404326573168,4
90,568.2117088047197,216.91904201004203,6
91,-152.72001440627798,648.0089931550851,7
92,-191.43385209781155,562.4923276891243,4
93,175.98176237842864,-231.86785481455502,6
94,-205.08354048633302,-150.2304439820219,8
95,1238.271436142978,-187.01824983504645,0
96,-666.8933596850721,583.6599597555006,7
97,-140.00867969206587,-142.93659254818064,8
98,-169.62424149618113,-456.12326738871144,3
99,-928.2923944119935,-402.56439563085223,1
100,-313.47092223244726,143.70918833821932,5
101,-52.71757275275562,713.6773682858816,7
102,-869.3397665515652,-304.84624074462073,1
103,-325.9030296694964,788.7688607959683,7
104,-721.2893848708015,-36.47071575883424,1
105,-872.2756763623499,-827.1118617982671,1
106,478.82508005656615,-102.60958298250951,6
107,253.21098107665472,-643.4915510270499,3
108,439.37610543880675,-411.60964733091066,0
109,-182.59633968926937,171.06361634543015,2
110,55.9414233861869,596.103566304744,9
111,727.8924129820685,216.00259921834177,3
112,-998.8381901868327,-280.73617957759086,1
113,-776.4239164043337,-901.2540883540736,1
114,1360.8432412639295,5.719745803505107,0
